"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"1","Updated App and now its not working","https://itunes.apple.com/ae/reviews/id250264110","Adnan Iqbal","4.0.2","1","I always comfort with SCB mobile App. But first time i faced an issue after update App, is not working.",2018-09-07 22:55:55
"2","Amazzzzedddd","https://itunes.apple.com/ae/reviews/id132836933","Amit Antony","4.0","5","It’s a shocker from the bank after a long long time!! A complete revamped app!!

It’s awesome",2018-08-12 16:59:30
"3","Not compatible with iPhone X","https://itunes.apple.com/ae/reviews/id183052952","Dubai Customer jun 2018","3.3.13","1","Not using full iPhone X screen and the user interface looks outdated",2018-06-09 13:46:06
"4","iPhone X support","https://itunes.apple.com/ae/reviews/id151954969","dxbmensh","3.3.13","2","Very late to support the new iPhone models ... before to support iphone 6+ and until now not supporting iPhone X after around one year of the phone release ( by the way apple will stop the update for all apps not supporting iphone X starting from June 2018 ) hopefully to see the update soon",2018-05-11 05:49:49
"5","Update is always later reminded than the store","https://itunes.apple.com/ae/reviews/id232758604","<U+975E><U+6D32><U+8292><U+679C>","3.3.7","5","Update is always later reminded than the store",2017-10-28 05:18:47
"6","Full of bugs","https://itunes.apple.com/ae/reviews/id121118313","StarScreamFa","3.3.5","1","It’s telling to upgraded the app even though it’s running the latest update",2017-09-24 05:42:33
"7","Upgrade","https://itunes.apple.com/ae/reviews/id466879031","nazainal","3.3.5","1","A message came up in the app to upgrade, but no option is given to do so",2017-09-24 00:00:48
"8","Need your help","https://itunes.apple.com/ae/reviews/id101405388","iSamer","3.3.1","3","Not able to register my fingerprint due to changing mobile to new one. Keeps telling me that ""you have reached maximum number of registered devices"".. old devices are not with me anymore and I cant change setting in them.. please help!",2017-06-13 23:44:51
"9","Impressive","https://itunes.apple.com/ae/reviews/id87237020","KarthiKN_V","3.3.1","5","Good",2017-04-28 12:08:43
"10","The Worst Banking App in UAE!!!","https://itunes.apple.com/ae/reviews/id378189661","nasarta","3.2.7","1","The Worst Banking App in UAE!!!",2016-12-27 03:48:24
"11","Jithuch7","https://itunes.apple.com/ae/reviews/id491899042","Jithuch7","3.2.7","1","The waste version!",2016-12-08 07:29:22
"12","Rubbish","https://itunes.apple.com/ae/reviews/id516538094","Dubs User","3.2.5","1","Useless app. Been over a month since I Started using it and it only displays O/S balance and no transactions. Repeatedly spoken to customer service without any resolution. Even this latest update didn't help. Disappointed",2016-07-26 03:52:04
"13","Great update","https://itunes.apple.com/ae/reviews/id412943753","Fantooos","3.2.5","5","The feature if accessing accounts via fingerprint is really useful, well done SC development team.",2016-07-23 09:42:57
"14","Best useless app","https://itunes.apple.com/ae/reviews/id340963424","Balaprakash","3.2.4","1","This app doesn't show any transactions made on card. Customer care guys asks us to install it which doesn't work. When I ask them why it's not showing up they asked me to check on online. Nothing I can do with app except to know how much I owe",2016-04-08 04:49:47
"15","Outdated method of updates","https://itunes.apple.com/ae/reviews/id483950380","Webnoel","3.2.4","2","The app is ok but the app update process is a total let down and dissappointnent. 

A SCB person calls you every month and says ""We have an update sir! Please log in and out to recieve the updates""

I mean seriously?? In this day and age this is how you do app updates?",2016-02-28 13:03:20
"16","Thanks for the update","https://itunes.apple.com/ae/reviews/id392757262","Edilmontal","3.1","4","Im glad you have finally did the update, thanks good job!",2014-06-13 22:41:00
"17","Excellent Banking Application","https://itunes.apple.com/ae/reviews/id398255854","loyaltyspeaks2","3.1","5","Excellent Mobile Banking Application. Just download and have a look all your banking transaction history and transfer money anywhere, even back home, pay utility bills, pay other bank's loan or credit card just sitting in the office or from outside the country....",2014-06-13 16:49:04
"18","Crashing!","https://itunes.apple.com/ae/reviews/id86049995","serop56","3.0","1","Previous version was stable, this version is crashing while making a payment.",2014-06-02 21:56:49
