"Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"Crashes always","https://itunes.apple.com/in/reviews/id776891782","Blastclan","5.1.0","1","One of the worst app I have used. After the “so called” useless aesthetic updates, the app always crashes. Not even once I could use it. The credit card bill payment is pathetic. I wonder why such a premium bank has one of the worst apps. Sc India should learn from other banks",2018-10-23 14:45:54
"Issues with the application","https://itunes.apple.com/in/reviews/id265045210","Tejsav","5.1.0","1","There has been consistent issues with the application of getting crashed again and again even after uninstalling and installing it n no. Of time and also reseting the entire phone and then again installing it. It would be a great favour if you could solve the issue asap and notify me. Thanks.",2018-10-16 18:36:17
"No Face ID Login for iPhone XS Max","https://itunes.apple.com/in/reviews/id451018333","Abhik13","5.1.0","2","All good with the app except its inability to Face ID login on the iPhone XS Max as yet.",2018-10-13 18:10:25
"Crashing issue","https://itunes.apple.com/in/reviews/id714119812","kashzeba","5.1.0","1","Hi SC,

I am facing issue with app crashing while Trying to logging the app it’s get back on the home screen of the mobile have done re installed procedures but again getting the same issue.",2018-10-13 00:16:26
"Very bad","https://itunes.apple.com/in/reviews/id412500000","amritanshnihit","5.1.0","1","App crashes continuously. Don't allow me to login .... Very unstable",2018-10-12 17:18:43
"App crashes every time","https://itunes.apple.com/in/reviews/id475885602","RatnadeepRaul","5.1.0","2","It crashes on each click on my ios.",2018-09-28 05:30:51
"Crashing","https://itunes.apple.com/in/reviews/id250220910","Dushi_Bhadana","5.1.0","1","Not working for IOS 12....crashing crashing....app is showing this app is not supported for my iphone. i updated n reinstall it 10 times...:just fed up ☹️🙄",2018-09-27 12:32:29
"Worst app","https://itunes.apple.com/in/reviews/id336950047","Sujith R","5.1.0","1","Please check other bank apps like SBI, Citibank etc...and update the app it’s not user friendly and very hard to access even the basic informations.",2018-09-25 04:51:52
"No customer care number","https://itunes.apple.com/in/reviews/id508338008","Elangonkl","5.1.0","3","App doesn’t have customer care number and queries raised inapp not attended",2018-09-05 11:49:52
"App crashing","https://itunes.apple.com/in/reviews/id353816985","Yath19","5.1.0","1","Have updated the app but the app goes on crashing as soon as I am trying to login.",2018-09-02 13:53:40
"Finger print issue","https://itunes.apple.com/in/reviews/id897351132","Vinay Kumar Tiwari","5.1.0","4","Hi ! This is Vinay here 
I’m using SC mobile app and I want to register my finger print in the app for login but when I register my finger print app is showing error.
Error is “you have reached the maximum number of devices enabled for touch id login. To enable touch id on this device please disable touch id on your previously registered device.”
But I’m using iPhone I have not using any other device.",2018-08-31 10:54:19
"App is too slow to operate","https://itunes.apple.com/in/reviews/id417623923","omiee29","5.1.0","1","Frustrating.it takes lot of time to login via fingerprint or by entering manually credentials",2018-08-31 08:15:06
"Toooooooo slow","https://itunes.apple.com/in/reviews/id540062027","Faizy9633","5.1.0","3","Dear Standred, please concentrate on App performance rather than spending much time in UI enhances..!  Because now a days it takes huge time for loading and navigations..!! 

Also Sometimes UI get stuck while doing some operations (Thread management issues...., I am a mobile app developer..! ).  

Please please please, concentrate on App performance...!",2018-08-31 08:00:31
"Worst Bank worst app","https://itunes.apple.com/in/reviews/id882894156","iosRaj","5.1.0","1","Impossible to even contact SC bank",2018-08-26 07:47:03
"basic utilities not there","https://itunes.apple.com/in/reviews/id292918080","rupesh.kumar","5.1.0","3","utilities like airtel mobile or IGL not there. it would be good to have.",2018-08-23 23:10:01
"Technical issues","https://itunes.apple.com/in/reviews/id616929196","sham kashyap","5.1.0","1","Hey team I'm not able to use the app due to some technical issues...each time I open the app it goes blank after updating this issue begin.. so please guide me with this.",2018-08-18 10:21:03
"App keeps crashing when i open it","https://itunes.apple.com/in/reviews/id172671677","Tiger Sport","5.1.0","1","App does not work",2018-08-12 08:02:49
"Keeps on crashing","https://itunes.apple.com/in/reviews/id563842165","Siananda","5.1.0","1","The app is crashing and closing on its own as soon as I click login. Please fix it.",2018-08-12 03:19:07
"App not working or crashing","https://itunes.apple.com/in/reviews/id489043803","ShriSagar","5.1.0","1","Since last update app not working after login app auto crash and back to home screen of phone",2018-08-11 08:55:21
"Poor connective or connective issue","https://itunes.apple.com/in/reviews/id262727141","Shanmugaraj","5.1.0","2","Very frequent connectivity issue
Unable to login, it say no network connection even data network is available",2018-08-10 11:09:07
"Application terminates abruptly","https://itunes.apple.com/in/reviews/id274578592","Manohotshot","5.1.0","1","I cant even make a single transaction after the update, the app closes frequently while logging it. There is a major glitch and has to be rectified.",2018-08-10 04:25:36
"Looking good but","https://itunes.apple.com/in/reviews/id440385297","Shiyadazla","5.1.0","3","The exterior is awesome. But while activating “balance on home” it is asking for OTP and those OTPs are taking two hours to deliver🤣🤣🤣.",2018-08-06 15:33:54
"App crashes","https://itunes.apple.com/in/reviews/id557130547","nitinmdas","5.1.0","2","It crashes every time I try to login",2018-08-04 02:06:01
"Best banking app in India","https://itunes.apple.com/in/reviews/id864609902","atnair_","5.1.0","5","Loved this app. Shows atmost care was taken care for this apps design. IPhone X app is also updated to take care of the notch.",2018-08-01 10:44:43
"Does not work!!!","https://itunes.apple.com/in/reviews/id138879646","Vikramvohra","5.1.0","1","With the new update . The app does not work .",2018-07-31 17:16:18
"After update mobile app is not working properly","https://itunes.apple.com/in/reviews/id674643385","anarauni","5.1.0","1","Hi Team the mobile app after upgrade is not working properly. As soon as i click on login the app closes itself. I am using iphone 6. Kindly suggest what needs to be done.",2018-07-31 11:59:17
"Updated app does not working","https://itunes.apple.com/in/reviews/id802318453","Ali9161","5.1.0","1","Dear 
Updated app of SC Breez having Login problem. While i am tapping on Login option app directly through outside and closed.
Kindly needful.

Regards
Junedali Kazi",2018-07-30 08:02:16
"July month transaction missing from all tabs","https://itunes.apple.com/in/reviews/id530742248","RaufShaikh","5.1.0","1","Received e statement for July but all listed transactions missing from app.",2018-07-29 15:41:08
"Bug in the latest Update","https://itunes.apple.com/in/reviews/id580173803","neer_91","5.1.0","1","As soon as I tap on the Login it redirects me to home page. Please fix this bug asap.
The version I have is version 8.1.0- w1.0",2018-07-27 06:17:41
"App not working","https://itunes.apple.com/in/reviews/id334547455","KunalBhar","5.1.0","1","The app is not working for almost a week now & the bank’s app developers are not resolving this",2018-07-25 18:07:49
"Unhappy","https://itunes.apple.com/in/reviews/id292999911","Full of rubbish","5.1.0","2","From a good app to a lousy experience. New UI and wingdings but in reality a crippled app. Touchid takes forever, no calendar for future payments anymore, doesn’t work anymore on 3G/4G. Real sloppy management of the app!!",2018-07-22 06:12:22
"Touch id issue","https://itunes.apple.com/in/reviews/id248306955","SwapnilDesai","5.1.0","4","There is no option for previously registered device removal. Its very Helpfull if they provide in app or in site access to reset it. OR Other option so user can reset it counts. 

Mine is not working & its saying remove previously registered divide first. 
Overall app experience is way better then others.",2018-07-21 08:11:57
"Wonderful User Experience","https://itunes.apple.com/in/reviews/id546301785","VisKi1027","5.1.0","5","I seriously do not understand why this app is underrated. It offers the best user experience one would want to have on an app. I am extremely happy with the app!!!",2018-07-20 22:25:22
"Not able to access","https://itunes.apple.com/in/reviews/id511434700","ronnie7989","5.0.3","1","It shows poor/ no connection, even when it is clearly connected to my wifi which is working perfectly well.
Please help!",2018-07-17 18:57:21
"No support for Mutual Fund","https://itunes.apple.com/in/reviews/id657883025","Life's an illusion","5.0.3","1","We cannot start investing in Mutual fund online. You are forced to visit the bank. Bank representative is least interested in explaining Mutual Fund they will bombard you with Term insurance or big investment plans. Less / no support from Bank representatives. Disappointed but still had hope so called up voice customer care, the guy was quick enough to give a toll free helpline number which turned out to be for Securities only. After 3 years with SC, this is the first time I think about moving my account to another one. Investing in Mutual Fund via SC seems be a dream now. 

It seem they have invested all their money in Anushka Sharma’s ad campaign instead of customer support. 

Pathetic!!!",2018-07-16 08:59:06
"PDF Format is NA for downloading E-statement","https://itunes.apple.com/in/reviews/id553412831","Sairam Ekambaram","5.0.3","2","Hi Team,

We should have options to E- statements in pdf format too apart from excel and txt format. Add this option in website, I assume we can’t download any statements in app.

Please improve this feature in next update.

Thanks & Regards,
SCB user",2018-07-15 12:06:41
