"Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"This app work extremely bad","https://itunes.apple.com/hk/reviews/id424707301","小十香www","5.4.3","1","On the front page of this app, it told me to update the app, and I cannot find the update on the AppStore...
Also, when I logged in my account and tried to press setting that I want to use Touch ID for login, it popped up an error, same as I press Touch ID login in the front page
This app is also keep maintenance and doing update, but it didn’t improve",2018-10-28 16:12:35
"cant login with xmax","https://itunes.apple.com/hk/reviews/id527051881","trytrybb11223","5.4.3","1","cant login with faceid or manual login.",2018-10-26 04:16:02
"So annoying","https://itunes.apple.com/hk/reviews/id180408125","CLQ818","5.4.3","1","Need to reset Face ID every time after update!",2018-10-26 00:09:51
"垃圾","https://itunes.apple.com/hk/reviews/id573130278","grumpybump","5.4.3","1","登記左幾日都話系統更新中 日頭又更新夜晚更新 根本就用唔到😒",2018-10-25 06:13:09
"Poor","https://itunes.apple.com/hk/reviews/id172774629","AH0105","5.4.3","1","Cannot even login. Keep awaiting for the text code but receive nothing. This is nothing new but still cannot work.",2018-10-24 15:23:09
"廢app","https://itunes.apple.com/hk/reviews/id139337790","唔識用個廢app的人","5.4.3","1","如果可以嘅話我真係想俾負星，個Face ID都用唔鬼到嘅，成日剔左我，但又keep返喺個登入果度",2018-10-23 05:02:34
"版本 5.0.3","https://itunes.apple.com/hk/reviews/id131060183","Lobo73510","5.4.3","2","請儘快加入App內直接查閲月結單和信用卡積分的功能！",2018-10-22 04:48:05
"Face id doesn’t work","https://itunes.apple.com/hk/reviews/id205869014","tchan168","5.4.3","1","Please fix it asap its been a few months and it’s so tiring and primitive having to login typing user id and password!",2018-10-19 12:22:28
"Lite balances","https://itunes.apple.com/hk/reviews/id532461830","ChuchuAppstore","5.4.3","4","Very useful feature - simple way to sign up and easy to use!",2018-10-17 04:41:53
"Cannot use Face ID","https://itunes.apple.com/hk/reviews/id223826197","chungsaicheong","5.4.3","1","Cannot use Face ID to login",2018-10-17 02:27:59
"Better design but poorer function","https://itunes.apple.com/hk/reviews/id624422140","ringlinga123","5.4.3","2","Indeed its been better in design after new upgrade. But now when i log in online banking it needs your phone for verification, not convenient. And sometimes the mobile app doesnt work smoothly. Function wise its been worse than before. If you would wish to increase Sc customer base, you should make it more user friendly as first priority. Design doesnt matter that much after all.",2018-10-16 02:54:35
"轉數快無得scan 同整 qr code","https://itunes.apple.com/hk/reviews/id920582233","jas626","5.4.3","3","無得scan 同整 qr code",2018-10-15 10:10:39
"Do you even know you have bugs in your app?","https://itunes.apple.com/hk/reviews/id67410","TerryHK","5.4.3","1","“JavaScript Error - Type Error - null is not an object” (evaluating t.isOffline)”

Almost every button I can press on your app, I get this pop up message.

FIX IT NOW OR REMOVE THIS USELESS APP!!!",2018-10-13 07:56:28
"Worst...","https://itunes.apple.com/hk/reviews/id107827357","DES413","5.4.3","1","The keep forcing you to follow the instruction... without giving you other option... SCB use to be my favourite retail banking in Hong Kong. So disappointed..",2018-10-13 06:19:31
"Dreadful app","https://itunes.apple.com/hk/reviews/id303952088","biker5455117","5.4.3","1","Not a good app at all. You can’t even see your statement!",2018-10-13 04:13:05
"keep registering","https://itunes.apple.com/hk/reviews/id221202675","Tobias Ko","5.4.3","2","The Sc mobile key registration keeps registering. I cannot use!",2018-10-12 07:02:28
"Problems with iPhone X - one year ago","https://itunes.apple.com/hk/reviews/id174780714","hongkongais852","5.4.3","1","I have written a review one year ago and this problem still persists. In the latest version, I could not even log in because the app failed to issue me a new “SC Mobile Key”.  I have visited the bank and verified my identity and phone number but it still didn’t work. Experiencing so much trouble, I decide to cut my account at this stupid bank altogether. 

Last review:
The new features claimed in the latest update, namely allowing users to use FaceID and add credit cards to Wallet, do not work at all! FaceID cannot be activated whether the app was recovered from my old phone or the app was deleted and re-downloaded. It also doesn’t work even following SC’s suggestion on their website (switch to Yes to No then Yes? It’s still NO!). I have called the hotline twice and they offer no better solutions. When trying to add cards to Wallet from the app, it asks users to wait for a SMS verification code that NEVER comes. The bank is wasting money on lousy app developer.",2018-10-10 09:00:46
"Touch ID never works","https://itunes.apple.com/hk/reviews/id313241319","karenktl","5.4.3","1","The touch id never works!! Ive re downloaded the app, disabled the touch id and enabled it again for so many times, and still it would not work. The error message always pop up! Please fix this!!",2018-10-10 06:22:02
"Can’t login with Touch ID","https://itunes.apple.com/hk/reviews/id279621269","JohannaGina","5.4.3","2","So clumsy to type everything each time... msg code 3000 keeps popping up since the new welcoming screen was launched. Uninstalled and installed, disabled then enabled, all doesn’t fix the problem",2018-10-09 09:47:02
"信箱得英文","https://itunes.apple.com/hk/reviews/id915316668","雕泥過篩","5.4.3","1","仆你個街，信箱剩係得英文。",2018-10-09 08:10:50
"無法下載月結單","https://itunes.apple.com/hk/reviews/id913851528","配凍結我","5.4.3","2","如需要下載月結單仍然需要使用網頁版，十分不便",2018-10-09 04:02:52
"disappointed","https://itunes.apple.com/hk/reviews/id187865936","Yan Yan 113","5.4.3","1","cant use SC pay, please fix it",2018-10-06 08:14:48
"Face id not work even update new version","https://itunes.apple.com/hk/reviews/id149139626","Keith 87","5.4.3","1","I change iphoneXS, i activate face id, but it can not access the mobile banking even though face id accepted but not access to the banking, i have to use userid/password to logon, pls fix it",2018-10-05 19:46:09
"Can’t use after update","https://itunes.apple.com/hk/reviews/id422601047","suetyingtse","5.4.3","1","The app’s not working after update!! Please solve the problem!!!",2018-10-05 13:04:25
"Cannot Login","https://itunes.apple.com/hk/reviews/id85267571","Kingdom_321","5.4.2","1","Pushing on the new update meaning bring new feature and function. It is not mean not allow you to stop login the app. you should test your app through before launch. In a big company , that is just not acceptable",2018-10-04 14:29:28
"fail to login sc app, because of sc mobile key not working","https://itunes.apple.com/hk/reviews/id43146017","Kurt Tsoi","5.4.2","1","fail to login sc app to check my bank information. the app shows sc mobile key is not working. 
hotline said, bank is processing but don’t know the time schedule it resume normal.",2018-10-04 04:51:25
"Fix the SC Mobile Key","https://itunes.apple.com/hk/reviews/id201982160","Edward @ Home","5.4.2","1","Please QA how the SC Mobile Key works. Strange behavior when trying to add multiple bills payees. If doing it on the PC, it needs the mobile version to be on. If the mobile version is not running or your phone screen is off, the PC session will get bumped to the login screen when getting the SC Mobile Key approval.",2018-10-04 00:25:50
"Utterly Trash","https://itunes.apple.com/hk/reviews/id357220742","HSBC Staff","5.4.2","1","The UI looks quite refreshing yet the UX is utterly trash. The app crashes always and the animation on the home page is super annoying. Please ask your IT personnel to perform adequate UAT before launch.",2018-10-03 08:33:33
"整好先攞出黎啦","https://itunes.apple.com/hk/reviews/id121115454","Jsyip","5.4.2","1","迫你登記新pw
迫你要開通知
唔開唔比登記？
有無咁on9",2018-10-03 05:12:29
"FPS feature is defected","https://itunes.apple.com/hk/reviews/id43727016","leeraymond","5.4.2","1","No QR code, no QR code scanning",2018-10-03 02:34:32
"Update 完用入唔到網上銀行😤","https://itunes.apple.com/hk/reviews/id186084204","Gigi436","5.4.2","1","Update 完用入唔到網上銀行😤",2018-10-02 16:58:46
